Godina,Ukupno (uključujući LULUCF) - neto,Ukupno (ne uključujući LULUCF) - total,Energetika,Industrijski procesi i uporaba proizvoda,Poljoprivreda,LULUCF,Otpad
1990,25203.41,31553.09,21411.71,4419.50,4424.34,-6349.69,1297.55
1995,14319.92,22873.00,16031.87,2328.10,3132.04,-8553.08,1380.99
2000,19083.19,25820.62,18254.81,2953.48,3093.20,-6737.43,1519.13
2005,21951.55,29952.53,21581.42,3396.12,3361.83,-8000.98,1613.16
2010,21369.75,28272.70,19733.62,3396.66,3135.04,-6902.94,2007.38
2015,19065.41,24754.26,16621.13,3191.56,2787.20,-5688.85,2154.37
2016,19225.92,24923.44,17026.68,3013.67,2731.11,-5697.52,2151.98
2017,20889.28,25772.49,17400.16,3395.78,2829.79,-4883.21,2146.76
2018,19155.89,24645.99,16460.30,3370.95,2716.69,-5490.10,2098.06
2019,19092.31,24815.74,16510.60,3541.75,2706.80,-5723.43,2056.59
2020,18241.09,23898.10,15561.84,3630.88,2700.72,-5657.02,2004.67
2021,18665.88,24428.55,16282.83,3584.09,2687.29,-5762.68,1874.35
2022,19656.76,24523.28,16871.92,3266.84,2447.16,-4866.52,1937.35
2023,19893.21,25418.95,17644.42,3516.97,2343.18,-5525.74,1914.38
