Godina,Prosječan udio slatkovodnih ekosustava ključnih za bioraznolikost (KBA) pokrivenih zaštićenim područjima (%),Prosječan udio kopnenih ekosustava ključnih za bioraznolikost (KBA) pokrivenih zaštićenim područjima (%)
2000,16.95,21.45
2001,17.47,21.70
2002,17.47,21.70
2003,17.47,21.90
2004,17.47,21.90
2005,17.47,21.90
2006,17.47,24.74
2007,17.47,24.74
2008,17.47,24.74
2009,17.47,24.74
2010,17.49,24.74
2011,41.93,28.51
2012,41.93,28.51
2013,99.97,74.47
2014,99.97,81.88
2015,99.97,81.88
2016,99.97,81.88
2017,99.97,81.88
2018,99.97,81.88
2019,99.97,81.88
2020,99.97,81.88
2021,99.97,82.02
2022,99.97,82.02
2023,99.97,82.02
2024,99.97,82.02
