Godina,Površina šuma ukupno ha,Državne šume ha,Privatne šume ha
2016,2 492 676,1 840 616,652 060
2017,2 496 9Godina,Površina šuma ukupno ha,Državne šume ha,Privatne šume ha
2016,2492676,1840616,652060
2017,2496928,1844849,652079
2018,2500560,1850399,650161
2019,2507746,1856318,651428
2020,2512659,1861628,651032
2021,2530865,1870284,660581
2022,2544739,1872904,671836
2023,2553398,1888861,664536
2024,2560058,1891559,668499
2025,2571386,1894114,677272
28,1 844 849,652 079
2018,2 500 560,1 850 399,650 161
2019,2 507 746,1 856 318,651 428
2020,2 512 659,1 861 628,651 032
2021,2 530 865,1 870 284,660 581
2022,2 544 739,1 872 904,671 836
2023,2 553 398,1 888 861,664 536
2024,2 560 058,1 891 559,668 499
2025,2 571 386,1 894 114,677 272
