Godina,Ukupni prihodi države u % BDP-a,Porezni prihodi u % BDP-a,Prihodi od socijalnih doprinosa u % BDP-a,Prihodi od vlasničkog dohotka u % BDP-a,Prihodi od tekućih transfera u % BDP-a
2000,56.3,25.8,13.4,0.2,11.8
2001,55.9,24.9,12.8,0.3,11.6
2002,47.4,25.8,11.9,1.3,3.5
2003,45.5,25.3,11.8,1.3,2.6
2004,43.9,24.6,11.7,1.3,2.3
2005,43.3,24.7,11.6,1.3,2
2006,43.4,25.3,11.5,1.3,1.7
2007,43.3,25.5,11.5,1.2,1.8
2008,43,25.1,11.7,1.1,1.4
2009,42.8,24.3,12.1,1.2,1.5
2010,42.1,24.2,11.8,1.1,1
2011,41.1,23.6,11.6,1.1,0.9
2012,43,24.5,11.5,1.1,1.4
2013,42.9,25.1,11.2,1.1,1.3
2014,43.4,24.8,11.8,1.3,1.4
2015,45.3,25.2,12,1,2.3
2016,46.5,25.8,11.9,1,2.6
2017,46.1,25.8,11.9,1,2.8
2018,46.5,26.5,12,0.8,2.2
2019,47.5,27,11.8,0.9,2.4
