Godina,Ukupno,"Muški 0-17 g.","Muški 18-64 g.","Muški 65+ g.","Ženski 0-17 g.","Ženski 18-64 g.","Ženski 65+ g."
2015,4890,1200,565,614,1285,528,698
2016,5890,1409,682,851,1379,721,848
2017,6542,1361,819,1086,1300,881,1095
2018,7363,1316,932,1379,1328,985,1423
2019,8380,1288,1021,1758,1301,1113,1902
2020,8342,1155,1001,1957,1201,1088,1943
2021,10072,1259,1184,2469,1309,1324,2527
2022,12580,1395,1415,3426,1445,1480,3419
2023,14960,1434,1657,4202,1531,1709,4427
2024,16499,1420,1562,3477,1670,2068,6302
