Godina,Broj svih liječenih osoba,Broj liječenih osoba zbog opioida,Broj liječenih zbog neopijata
2001,5 320,3 067,2 253
2002,5 811,4 061,1 750
2003,5 678,4 087,1 591
2004,5 768,4 163,1 605
2005,6 668,4 867,1 801
2006,7 427,5 611,1 816
2007,7 464,5 703,1 761
2008,7 506,5 832,1 674
2009,7 733,6 251,1 482
2010,7 550,6 175,1 375
2011,7 665,6 198,1 467
2012,7 855,6 357,1 498
2013,7 857,6 315,1 542
2014,7 812,6 241,1 571
2015,7 533,6 123,1 410
2016,7 106,5 953,1 153
2017,7 157,5 773,1 384
2018,6 761,5 434,1 327
2019,6 858,5 338,1 520
2020,5 478,4 431,1 047
2021,5 624,4 605,1 019
2022,6 078,4 741,1 337
2023,5 875,4 662,1 213
2024,5 904,4 489,1 415
