Godina,Stopa nataliteta na 1 000 žena starosti 10-14,Stopa nataliteta na 1 000 žena starosti 15-19
"2,000.0",0.1,15.8
"2,001.0",0.1,15.4
"2,002.0",0.1,14.9
"2,003.0",0.0,13.9
"2,004.0",0.1,13.6
"2,005.0",0.0,14.0
"2,006.0",0.0,13.7
"2,007.0",0.0,13.6
"2,008.0",0.1,13.9
"2,009.0",0.1,12.9
"2,010.0",0.1,11.9
"2,011.0",0.1,11.4
"2,012.0",0.1,11.4
"2,013.0",0.1,10.6
"2,014.0",0.0,10.2
"2,015.0",0.1,9.6
"2,016.0",0.1,9.6
"2,017.0",0.1,9.3
"2,018.0",0.0,8.6
"2,019.0",0.0,8.8
"2,020.0",0.0,7.6
"2,021.0",0.0,6.9
"2,022.0",0.0,7.2
