Godina,Sudjelovanje odraslih u obrazovanju (25 - 64 god.) - ukupno (%),Sudjelovanje odraslih u obrazovanju (25 - 64 god.) - žene (%),Sudjelovanje odraslih u obrazovanju (25 - 64 god.) - muškarci (%),Napomena
2007,2.9,3.3,2.5,Podaci su usklađeni prema Popisu 2011.
2008,2.6,2.9,2.4,Podaci su usklađeni prema Popisu 2011.
2009,3.0,2.9,3.2,Podaci su usklađeni prema Popisu 2011.
2010,3.0,3.0,3.0,Podaci su usklađeni prema Popisu 2011.
2011,3.1,3.3,2.9,Podaci su usklađeni prema Popisu 2011.
2012,3.4,3.7,3.0,Prekid u vremenskoj seriji podataka od 2012. nadalje. Podaci su usklađeni prema Popisu 2021.
2013,3.3,3.5,3.1,Podaci su usklađeni prema Popisu 2021.
2014,2.8,3.0,2.6,Podaci su usklađeni prema Popisu 2021.
2015,3.2,3.7,2.7,Podaci su usklađeni prema Popisu 2021.
2016,3.0,2.9,3.0,Podaci su usklađeni prema Popisu 2021.
2017,2.3,2.6,2.0,Podaci su usklađeni prema Popisu 2021.
2018,2.7,3.2,2.3,Podaci su usklađeni prema Popisu 2021.
2019,3.5,3.6,3.3,Podaci su usklađeni prema Popisu 2021.
2020,3.2,3.7,2.7,Podaci su usklađeni prema Popisu 2021.
2021,5.3,6.6,3.9,Podaci su usklađeni prema Popisu 2021.
2022,4.9,5.3,4.4,Podaci su usklađeni prema Popisu 2021.
2023,6.4,6.9,5.9,Podaci su usklađeni prema Popisu 2021.
2024,6.6,7.5,5.6,Podaci su usklađeni prema Popisu 2021.
