Godina,"Kopiranje ili premještanje datoteka između mapa, uređaja ili na oblaku (%)",Preuzimanje ili instaliranje softvera ili aplikacija (%),"Promjena postavki softvera, aplikacija ili uređaja (%)",Korištenje softvera za obradu teksta (%),"Kreiranje datoteka koje sadrže elemente kao što su tekst, slika, tablica, grafikon, animacija ili zvuk (%)",Korištenje softvera za tablične kalkulacije (%),"Korištenje naprednih značajki softvera za tablične kalkulacije (funkcije, formule, makronaredbe) (%)","Uređivanje fotografija, videozapisa ili audio datoteka (%)",Pisanje koda u programskom jeziku (%)
2021 16-24 M,100.0,74.1,63.5,71.2,57.7,90.2,56.2,42.4,14.3
2021 16-24 Ž,99.0,67.9,45.2,74.6,71.3,80.4,62.3,39.6,11.5
2021 16-24,99.5,71.2,54.9,72.8,64.1,85.6,59.1,41.1,13.0
2021 25-54 M,100.0,60.4,52.4,51.5,25.6,86.9,59.1,31.9,4.1
2021 25-54 Ž,99.6,57.4,41.2,57.1,43.5,82.6,54.0,32.0,2.5
2021 25-54,99.8,59.0,47.0,54.2,34.2,84.8,56.7,32.0,3.3
2021 55-74 M,99.9,32.8,27.8,25.5,9.8,74.3,54.0,15.1,2.1
2021 55-74 Ž,99.8,14.7,20.8,22.4,7.7,78.1,58.6,10.0,0.3
2021 55-74,99.9,24.0,24.4,24.0,8.8,76.1,56.3,12.6,1.2
2021 16-74 M,100.0,56.1,48.3,48.5,27.1,84.4,57.4,29.6,5.3
2021 16-74 Ž,99.6,48.5,36.8,51.3,39.1,81.1,56.5,27.8,3.4
2021 16-74,99.8,52.4,42.8,49.9,32.9,82.8,57.0,28.7,4.4
2023 16-24 M,95.1,77.9,74.6,77.9,70.0,58.5,38.8,37.5,26.7
2023 16-24 Ž,94.4,84.3,35.0,97.3,45.9,40.9,20.8,21.1,3.6
2023 16-24,94.8,81.4,52.6,88.7,56.6,48.8,28.8,28.4,13.8
2023 25-54 M,92.3,64.7,65.4,61.8,42.5,54.4,33.6,27.2,13.0
2023 25-54 Ž,92.1,59.1,56.8,58.2,45.5,41.8,19.7,22.4,2.0
2023 25-54,92.2,62.1,61.4,60.2,43.9,48.6,27.2,25.0,7.9
2023 55-74 M,60.8,19.1,19.2,19.9,9.9,15.5,7.0,6.3,0.5
2023 55-74 Ž,50.6,12.8,10.6,10.0,4.9,8.2,2.9,2.7,0.2
2023 55-74,55.2,15.7,14.5,14.5,7.2,11.5,4.7,4.3,0.3
2023 16-74 M,81.7,50.7,50.6,49.5,35.0,41.5,25.1,21.4,10.6
2023 16-74 Ž,75.6,44.5,34.2,45.2,29.0,28.0,13.0,14.2,1.6
2023 16-74,78.6,47.5,42.3,47.3,32.0,34.6,18.9,17.7,6.0
