Godina,Udio žena na rukovodećim radnim mjestima (%),Udio žena na višim i srednjim rukovodećim radnim mjestima (%),Napomena
2007,20.70,22.70,Podaci su usklađeni prema Popisu 2011.
2008,25.44,32.10,Podaci su usklađeni prema Popisu 2011.
2009,25.15,37.20,Podaci su usklađeni prema Popisu 2011.
2010,25.78,27.40,Podaci su usklađeni prema Popisu 2011.
2011,23.95,23.60,Podaci su usklađeni prema Popisu 2011.
2012,25.95,25.46,Prekid u vremenskoj seriji podataka od 2012. nadalje. Podaci su usklađeni prema Popisu 2021.
2013,24.96,24.70,Podaci su usklađeni prema Popisu 2021.
2014,24.17,24.88,Podaci su usklađeni prema Popisu 2021.
2015,26.81,26.10,Podaci su usklađeni prema Popisu 2021.
2016,30.49,30.03,Podaci su usklađeni prema Popisu 2021.
2017,29.29,28.09,Podaci su usklađeni prema Popisu 2021.
2018,30.83,26.84,Podaci su usklađeni prema Popisu 2021.
2019,27.45,25.15,Podaci su usklađeni prema Popisu 2021.
2020,29.18,29.81,Podaci su usklađeni prema Popisu 2021.
2021,28.35,29.38,Podaci su usklađeni prema Popisu 2021.
2022,21.92,24.38,Podaci su usklađeni prema Popisu 2021.
2023,23.87,21.26,Podaci su usklađeni prema Popisu 2021.
2024,27.57,-,Podaci su usklađeni prema Popisu 2021.
