Godina,Stopa nezaposlenosti ukupno,Stopa nezaposlenosti ukupno 15 do 24,Stopa nezaposlenosti ukupno 25 do 49,Stopa nezaposlenosti ukupno 50 do 64,Stopa nezaposlenosti ukupno 55 do 64,Stopa nezaposlenosti muškarci,Stopa nezaposlenosti muškarci 15 do 24,Stopa nezaposlenosti muškarci 25 do 49,Stopa nezaposlenosti muškarci 50 do 64,Stopa nezaposlenosti muškarci 55 do 64,Stopa nezaposlenosti žene,Stopa nezaposlenosti žene 15 do 24,Stopa nezaposlenost žene 25 do 49,Stopa nezaposlenosti žene 50 do 64,Stopa nezaposlenosti žene 55 do 64,Napomena
2010 Q1,11.2,28.0,10.5,(7.5),((6.3)),10.4,(28.4),9.4,(6.6),((6.3)),12.1,(27.3),11.7,(8.6),((6.3)),Podaci su usklađeni prema Popisu 2011.
2010 Q2,12.0,33.7,10.8,(7.2),(7.1),11.6,(32.2),10.3,(6.8),((7.3)),12.5,(35.8),11.4,(7.7),((6.7)),Podaci su usklađeni prema Popisu 2011.
2010 Q3,11.2,30.5,10.6,(6.0),(7.3),10.5,(28.3),9.4,(6.4),((8.3)),12.1,(33.8),11.9,((5.6)),((5.5)),Podaci su usklađeni prema Popisu 2011.
2010 Q4,12.1,38.2,11.1,(6.5),((5.5)),11.8,(38.3),10.3,(6.9),((6.7)),12.5,(37.9),11.9,((6.0)),((3.6)),Podaci su usklađeni prema Popisu 2011.
2011 Q1,14.3,40.4,13.3,8.4,(6.6),14.7,43.2,13.0,(8.5),((6.5)),13.9,(36.4),13.5,(8.3),((6.8)),Podaci su usklađeni prema Popisu 2011.
2011 Q2,14.0,37.2,13.5,(8.2),(9.1),13.9,(36.1),12.8,(8.7),((9.1)),14.2,(39.3),14.2,((7.5)),((9.1)),Podaci su usklađeni prema Popisu 2011.
2011 Q3,12.7,32.8,12.5,(7.4),(7.8),12.3,(30.5),12.0,(8.0),((9.6)),13.1,(36.0),13.1,((6.6)),((4.7)),Podaci su usklađeni prema Popisu 2011.
2011 Q4,13.7,36.0,13.5,8.1,(7.4),13.7,(38.3),13.1,(8.3),((8.8)),13.7,(33.1),13.9,(7.9),((5.2)),Podaci su usklađeni prema Popisu 2011.
2012 Q1,16.5,45.5,15.9,10.1,(10.2),17.0,47.0,15.9,(10.7),((10.8)),15.9,(43.1),15.9,(9.2),((9.1)),Prekid u vremenskoj seriji podataka od 2012Q1 nadalje. Podaci su usklađeni prema Popisu 2021.
2012 Q2,14.9,37.5,14.6,10.0,(11.5),14.8,(36.5),14.2,(10.5),(12.0),14.9,(39.2),15.1,(9.3),((10.7)),Podaci su usklađeni prema Popisu 2021.
