Godina,Ukupno (%),Muškarci (%),Žene (%),
2009,13.4,13.4,13.5,Podaci su usklađeni prema Popisu 2011.
2010,15.7,17.1,14.1,Podaci su usklađeni prema Popisu 2011.
2011,16.2,17.8,14.6,Podaci su usklađeni prema Popisu 2011.
2012,16.6,18.1,15.2,Prekid u vremenskoj seriji podataka od 2012. nadalje. Podaci su usklađeni prema Popisu 2021.
2013,19.6,20.6,18.5,Podaci su usklađeni prema Popisu 2021.
2014,18.9,21.4,16.2,Podaci su usklađeni prema Popisu 2021.
2015,18.0,20.4,15.4,Podaci su usklađeni prema Popisu 2021.
2016,16.7,18.8,14.5,Podaci su usklađeni prema Popisu 2021.
2018,15.3,15.5,15.0,Podaci su usklađeni prema Popisu 2021.
2017,13.3,12.9,13.8,Podaci su usklađeni prema Popisu 2021.
2019,12.0,12.0,11.9,Podaci su usklađeni prema Popisu 2021.
2020,12.1,12.2,11.9,Podaci su usklađeni prema Popisu 2021.
2021,12.5,11.8,13.3,Podaci su usklađeni prema Popisu 2021.
2022,11.4,11.6,11.2,Podaci su usklađeni prema Popisu 2021.
2023,9.8,10.1,9.6,Podaci su usklađeni prema Popisu 2021.
2024,8.0,8.4,7.6,Podaci su usklađeni prema Popisu 2021.
