Godina,Željeznički prijevoz putnika u mil. pkm,Prijevoz putnika motociklima u mil. pkm,Prijevoz putnika osobnim vozilima u mil. pkm,Prijevoz putnika autobusima u mil. pkm,Cestovni prijevoz robe u mil. tkm,Željeznički prijevoz robe u mil. tkm,Prijevoz robe na unutarnjim vodnim putovima u mil. tkm,Transport nafte u mil. tkm,Transport plina u mil. tkm
2010,1 742,…,…,3 284,8 780,2 618,941,1 300,403
2011,1 486,1 068,25 242,3 145,8 927,2 438,692,1 028,449
2012,1 104,1 190,26 147,3 249,8 649,2 332,772,838,378
2013,948,1 207,26 099,3 507,9 133,2 086,771,1 127,358
2014,927,1 257,26 057,3 648,9 381,2 119,716,1 114,333
2015,951,1 401,26 393,3 377,10 439,2 183,879,1 395,346
2016,836,1 472,26 181,3 802,11 337,2 160,836,1 589,332
2017,745,1 523,26 189,4 150,11 833,2 592,813,1 768,343
2018,756,1 525,25 594,3 843,12 635,2 743,678,1 985,329
2019,734,1 568,25 372,4 022,12 477,2 911,835,1 389,286
2020,449,1 384,20 215,2 076,12 254,3 279,903,1 640,274
2021,540,1 672,23 135,2 394,13 629,3 172,841,1 671,492
2022,815,1 726,23 821,3 224,13 659,3 529,595,1 634,616
2023,1 145,1 774,24 033,3 482,14 329,3 145,486,1 741,637
2024,1 150,1 797,23 968,3 751,14 325,3 293,570,1 468,638
2025,1 232,1 815,23 547,3 643,15 426,3 012,541,1 172,715
