Godina,Bruto dodana vrijednost prerađivačke industrije - udio u BDP-u (%),Bruto dodana vrijednost prerađivačke industrije po stanovniku (kn),Bruto dodana vrijednost prerađivačke industrije po stanovniku (Eur),Napomena,
2000,16.7,6 849,909,,
2001,16.4,7 381,980,,
2002,15.2,7 537,1 000,,
2003,14.8,8 093,1 074,,
2004,15.0,8 831,1 172,,
2005,14.3,9 033,1 199,,
2006,13.8,9 500,1 261,,
2007,13.8,10 463,1 389,,
2008,13.5,10 949,1 453,,
2009,13.2,10 356,1 374,,
2010,13.0,10 107,1 341,,
2011,13.7,10 859,1 441,,
2012,13.5,10 711,1 422,,
2013,12.6,10 124,1 344,,
2014,12.7,10 261,1 362,,
2015,12.7,10 631,1 411,,
2016,12.9,11 259,1 494,,
2017,12.8,11 839,1 571,,
2018,12.3,12 140,1 611,,
2019,12.0,12 572,1 669,,
2020,12.2,11 892,1 578,,
2021,11.7,13 229,1 756,,
2022,12.3,16 221,2 153,,
2023,12.2,18 906,2 509,,
2024,10.5,-,2 326,Privremeni podaci,
2025,10.1,-,2 429,Privremeni podaci,
